,home_loc,school_loc,home_latlng,school_latlng,home_lat,home_lng,school_lat,school_lng
72,"Hudson, NC ","Tallahassee, Florida","[35.8484645, -81.4959267]","[30.4382559, -84.28073289999999]",35.8484645,-81.4959267,30.4382559,-84.2807329
73,"Lakeland, FL ","Tallahassee, Florida","[28.0394654, -81.9498042]","[30.4382559, -84.28073289999999]",28.0394654,-81.9498042,30.4382559,-84.2807329
74,"Plantation, FL ","Tallahassee, Florida","[26.1275862, -80.23310359999999]","[30.4382559, -84.28073289999999]",26.1275862,-80.2331036,30.4382559,-84.2807329
75,"Philadelphia, PA","Tallahassee, Florida","[39.9525839, -75.1652215]","[30.4382559, -84.28073289999999]",39.9525839,-75.1652215,30.4382559,-84.2807329
76,"Panama City, FL","Tallahassee, Florida","[30.1588129, -85.6602058]","[30.4382559, -84.28073289999999]",30.1588129,-85.6602058,30.4382559,-84.2807329
77,"Bradenton, FL ","Tallahassee, Florida","[27.4989278, -82.5748194]","[30.4382559, -84.28073289999999]",27.4989278,-82.5748194,30.4382559,-84.2807329
78,"Crawfordville, FL ","Tallahassee, Florida","[30.19448389999999, -84.37112069999999]","[30.4382559, -84.28073289999999]",30.1944839,-84.3711207,30.4382559,-84.2807329
79,"Washington, DC","Tallahassee, Florida","[38.9071923, -77.0368707]","[30.4382559, -84.28073289999999]",38.9071923,-77.0368707,30.4382559,-84.2807329
80,"Houston, TX ","Tallahassee, Florida","[29.7604267, -95.3698028]","[30.4382559, -84.28073289999999]",29.7604267,-95.3698028,30.4382559,-84.2807329
81,"Fredericksburg, VA ","Tallahassee, Florida","[38.3031837, -77.4605399]","[30.4382559, -84.28073289999999]",38.3031837,-77.4605399,30.4382559,-84.2807329
82,"Miami, FL ","Tallahassee, Florida","[25.7616798, -80.1917902]","[30.4382559, -84.28073289999999]",25.7616798,-80.1917902,30.4382559,-84.2807329
83,"Charlotte, NC ","Tallahassee, Florida","[35.2270869, -80.8431267]","[30.4382559, -84.28073289999999]",35.2270869,-80.8431267,30.4382559,-84.2807329
84,"Tallahassee, FL ","Tallahassee, Florida","[30.4382559, -84.28073289999999]","[30.4382559, -84.28073289999999]",30.4382559,-84.2807329,30.4382559,-84.2807329
85,"Long Beach, CA","Los Angeles, California","[33.7700504, -118.1937395]","[34.0522342, -118.2436849]",33.7700504,-118.1937395,34.0522342,-118.2436849
86,"La Puente, CA ","Los Angeles, California","[34.0200114, -117.9495083]","[34.0522342, -118.2436849]",34.0200114,-117.9495083,34.0522342,-118.2436849
87,"Westlake Village, CA ","Los Angeles, California","[34.1466467, -118.8073729]","[34.0522342, -118.2436849]",34.1466467,-118.8073729,34.0522342,-118.2436849
88,"Gardena, CA ","Los Angeles, California","[33.8883487, -118.3089624]","[34.0522342, -118.2436849]",33.8883487,-118.3089624,34.0522342,-118.2436849
89,"Murrieta, CA ","Los Angeles, California","[33.5539143, -117.2139232]","[34.0522342, -118.2436849]",33.5539143,-117.2139232,34.0522342,-118.2436849
90,"Mililani, HI ","Los Angeles, California","[21.4513314, -158.0152807]","[34.0522342, -118.2436849]",21.4513314,-158.0152807,34.0522342,-118.2436849
91,"La Puente, CA ","Los Angeles, California","[34.0200114, -117.9495083]","[34.0522342, -118.2436849]",34.0200114,-117.9495083,34.0522342,-118.2436849
92,"Lawrenceville, GA ","Los Angeles, California","[33.9562149, -83.9879625]","[34.0522342, -118.2436849]",33.9562149,-83.9879625,34.0522342,-118.2436849
93,"Phoenix, AZ ","Los Angeles, California","[33.4483771, -112.0740373]","[34.0522342, -118.2436849]",33.4483771,-112.0740373,34.0522342,-118.2436849
94,"Santa Ana, CA ","Los Angeles, California","[33.7455731, -117.8678338]","[34.0522342, -118.2436849]",33.7455731,-117.8678338,34.0522342,-118.2436849
